station_origin,station_destination,flows,population,jobs,distance
Abbey Road,Bank and Monument,0,599,78549,8131.410852278374
Abbey Road,Beckton,1,599,442,8510.047005693092
Abbey Road,Blackwall,3,599,665,3775.359872441325
Abbey Road,Canary Wharf,1,599,58772,5086.404941034889
Abbey Road,Canning Town,37,599,15428,2228.8741846469034
Abbey Road,Crossharbour,1,599,1208,6686.335036455846
Abbey Road,Custom House,0,599,845,3824.789936120775
Abbey Road,Cutty Sark,2,599,1748,8503.736582029253
Abbey Road,Cyprus,7,599,850,6532.03718518448
Abbey Road,Devons Road,1,599,611,3958.290432237898
Abbey Road,East India,2,599,1522,3384.060703280999
Abbey Road,Island Gardens,2,599,691,7706.1453925784
Abbey Road,King George V,5,599,800,6805.940949293192
Abbey Road,Langdon Park,8,599,1989,4810.624641927816
Abbey Road,Lewisham,0,599,2400,11213.267832433867
Abbey Road,Limehouse,2,599,2969,6154.4232821428795
Abbey Road,London City Airport,4,599,1941,5777.364535549046
Abbey Road,Pontoon Dock,8,599,1123,4636.026196749293
Abbey Road,Poplar,0,599,1301,4498.312601743931
Abbey Road,Prince Regent,1,599,754,4349.277514093412
Abbey Road,Royal Albert,4,599,684,5237.697526411429
Abbey Road,Shadwell,1,599,7447,6583.487279124694
Abbey Road,South Quay,7,599,4591,6089.597423699966
Abbey Road,Star Lane,7,599,1052,1397.47137890339
Abbey Road,Stratford,285,599,55954,1174.5026044785152
Abbey Road,Stratford High Street,10,599,788,655.2042983521716
Abbey Road,Stratford International,33,599,1546,2495.5684176130394
Abbey Road,West Ham,130,599,5487,533.8352508211111
Abbey Road,West Silvertown,2,599,893,3879.977381453637
Abbey Road,Westferry,3,599,1250,5180.817720491309
Abbey Road,Woolwich Arsenal,32,599,4428,9235.19160039565
Acton Central,Barking,0,1224,7004,28858.615099800933
Acton Central,Blackhorse Road,0,1224,2955,19049.78805616985
Acton Central,Brondesbury,76,1224,712,6439.255625783477
Acton Central,Brondesbury Park,31,1224,895,5697.084875423086
Acton Central,Bushey,0,1224,456,20283.37910917333
Acton Central,Caledonian Road & Barnsbury,22,1224,1668,14032.096755981685
Acton Central,Camden Road,52,1224,3784,12267.545294208541
Acton Central,Canada Water,0,1224,20443,19290.079288746954
Acton Central,Canonbury,3,1224,846,15826.792429811572
Acton Central,Carpenders Park,0,1224,340,18320.47126522395
Acton Central,Crouch Hill,2,1224,404,13393.270619811085
Acton Central,Dalston Kingsland,5,1224,2091,17007.959844124813
Acton Central,Denmark Hill,0,1224,2612,19357.898358926057
Acton Central,Edmonton Green,0,1224,783,24977.18143888645
Acton Central,Euston,17,1224,16800,11674.399072072647
Acton Central,Finchley Road & Frognal,52,1224,1529,7919.1151780698365
Acton Central,Gospel Oak,18,1224,2025,10278.171828193264
Acton Central,Gunnersbury,102,1224,4775,2169.3109900321106
Acton Central,Hackney Central,10,1224,2440,18297.695944431787
Acton Central,Hackney Wick,5,1224,1263,20676.617741920378
Acton Central,Haggerston,2,1224,1184,17998.652531001655
Acton Central,Hampstead Heath,59,1224,2792,9339.626725622302
Acton Central,Harlesden,0,1224,1668,4212.557746358709
Acton Central,Harringay Green Lanes,3,1224,544,14899.881307326916
Acton Central,Harrow & Wealdstone,3,1224,1335,12880.238870774432
Acton Central,Hatch End,0,1224,93,15877.21502702274
Acton Central,Headstone Lane,4,1224,310,14731.100700501931
Acton Central,Highams Park,0,1224,390,24555.682140644138
Acton Central,Highbury & Islington,49,1224,25385,14845.686196882338
Acton Central,Homerton,3,1224,1998,19333.285665172167
Acton Central,Hoxton,4,1224,2181,18833.23411012761
Acton Central,Kensal Green,0,1224,472,4417.595180248881
Acton Central,Kensal Rise,39,1224,1376,4694.575496267802
Acton Central,Kentish Town West,54,1224,1128,11369.314313882296
Acton Central,Kenton,2,1224,768,11096.420527707876
Acton Central,Kew Gardens,18,1224,792,3949.5334683831406
Acton Central,Kilburn High Road,0,1224,266,6866.675152555201
Acton Central,Leyton Midland Road,0,1224,445,22254.424273971876
Acton Central,Leytonstone High Road,0,1224,314,23468.522918564977
Acton Central,New Cross,1,1224,1027,22156.53467172023
Acton Central,New Cross Gate,0,1224,1340,21921.304463377364
Acton Central,North Wembley,0,1224,365,8773.693152371092
Acton Central,Queen's Park,0,1224,2167,5802.194077978811
Acton Central,Richmond,318,1224,5397,6117.653704120939
Acton Central,Shadwell,0,1224,7447,18657.782147623995
Acton Central,Shoreditch High Street,4,1224,7558,19122.95000391152
Acton Central,South Acton,7,1224,975,1152.4967785759086
Acton Central,South Hampstead,3,1224,236,7843.008678583402
Acton Central,South Kenton,0,1224,261,9709.42803768239
Acton Central,South Tottenham,0,1224,552,16758.674890668975
Acton Central,Stonebridge Park,0,1224,729,5707.496961591143
Acton Central,Stratford,11,1224,55954,22249.536628284404
Acton Central,Surrey Quays,0,1224,1005,19839.585932906582
Acton Central,Upper Holloway,4,1224,898,12178.36889465897
Acton Central,Watford High Street,3,1224,790,21597.59091851628
Acton Central,Watford Junction,5,1224,1367,23003.589873710273
Acton Central,Wembley Central,1,1224,1327,7425.588178089536
Acton Central,West Hampstead,141,1224,5856,7288.470995328279
Acton Central,White Hart Lane,0,1224,641,22578.81720707686
Acton Central,Whitechapel,1,1224,17633,17927.152599099347
Acton Central,Willesden Junction,90,1224,4165,3065.371374658801
Acton Central,Woodgrange Park,0,1224,242,26708.602449243775
Acton Town,Aldgate,3,3745,7782,16943.751441662655
Acton Town,Aldgate East,17,3745,7932,17185.795767094834
Acton Town,Alperton,35,3745,741,4973.03760784244
Acton Town,Amersham,0,3745,256,37455.118055272076
Acton Town,Angel,11,3745,8103,15763.676068745941
Acton Town,Archway,1,3745,2193,18217.27566581004
Acton Town,Arnos Grove,1,3745,748,25901.027685643458
Acton Town,Arsenal,0,3745,315,17900.02906732186
Acton Town,Baker Street,19,3745,14973,12097.171820293102
Acton Town,Balham,0,3745,3814,18527.563073704223
Acton Town,Bank and Monument,66,3745,78549,15506.858259859691
Acton Town,Barbican,9,3745,9134,16902.25425374231
Acton Town,Barking,1,3745,7004,29080.57833227145
Acton Town,Barkingside,0,3745,262,34635.83961150432
Acton Town,Barons Court,84,3745,2956,5270.453280074591
Acton Town,Bayswater,3,3745,615,9786.720321400213
Acton Town,Becontree,0,3745,456,32375.014173136216
Acton Town,Belsize Park,0,3745,2255,17213.092127365515
Acton Town,Bermondsey,6,3745,3172,16806.49278529078
Acton Town,Bethnal Green,2,3745,4660,18755.54166929188
Acton Town,Blackfriars,39,3745,10849,14337.581854825703
Acton Town,Blackhorse Road,0,3745,2955,24646.442587407775
Acton Town,Bond Street,27,3745,20967,12250.135620043107
Acton Town,Borough,1,3745,3254,15233.285035829991
Acton Town,Boston Manor,62,3745,892,3511.6679282733157
Acton Town,Bounds Green,1,3745,778,24546.780258880965
Acton Town,Bow Road,1,3745,1193,20883.42424213499
Acton Town,Brixton,16,3745,5084,16094.311565270153
Acton Town,Bromley-by-Bow,2,3745,1613,21892.189250291784
Acton Town,Burnt Oak,0,3745,649,26884.36833090102
Acton Town,Caledonian Road,2,3745,1803,16618.024330197895
Acton Town,Camden Town,3,3745,6348,15181.235852159154
Acton Town,Canada Water,11,3745,20443,17795.994422659718
Acton Town,Canary Wharf,57,3745,58772,20397.814872496154
Acton Town,Canning Town,3,3745,15428,22941.948909559185
Acton Town,Cannon Street,18,3745,4698,15246.010565462911
Acton Town,Canons Park,0,3745,526,24459.194119259886
Acton Town,Chalfont & Latimer,0,3745,554,34069.45175793173
Acton Town,Chalk Farm,0,3745,1329,16175.00172903283
Acton Town,Chancery Lane,20,3745,15391,13817.455888625367
Acton Town,Charing Cross,5,3745,7016,12450.651956012676
Acton Town,Chiswick Park,20,3745,1517,1274.931328008788
Acton Town,Chorleywood,1,3745,702,30556.59747229229
Acton Town,Clapham Common,3,3745,2020,16102.64393702391
Acton Town,Clapham North,1,3745,1238,15459.889869414079
Acton Town,Clapham South,2,3745,1513,17354.950900866963
Acton Town,Cockfosters,0,3745,262,31089.760367192008
Acton Town,Colindale,0,3745,2081,25577.968574869636
Acton Town,Colliers Wood,0,3745,865,21857.996761694478
Acton Town,Covent Garden,44,3745,4355,12619.05661379833
Acton Town,Croxley,0,3745,340,26518.132027884778
Acton Town,Dagenham East,0,3745,649,35082.39617029439
Acton Town,Dagenham Heathway,0,3745,1108,33803.19078430976
Acton Town,Dollis Hill,0,3745,847,16674.327261021044
Acton Town,Ealing Broadway,107,3745,4846,2591.8865980364035
Acton Town,Ealing Common,13,3745,915,1026.6123345670192
Acton Town,Earl's Court,129,3745,6613,6775.225899113811
Acton Town,East Acton,2,3745,1505,7200.724198051852
Acton Town,East Finchley,0,3745,1253,21556.47544023298
Acton Town,East Ham,1,3745,2062,26655.66381509519
Acton Town,East Putney,13,3745,1877,11040.66104963244
Acton Town,Eastcote,2,3745,364,13360.66708319118
Acton Town,Edgware,1,3745,772,28402.482810154826
Acton Town,Edgware Road,12,3745,6868,11062.352962902814
Acton Town,Elephant & Castle,20,3745,6427,14533.342629220508
Acton Town,Embankment,16,3745,10220,12790.977786835598
Acton Town,Euston,14,3745,16800,13807.659751177029
Acton Town,Euston Square,3,3745,8093,13543.922805192602
Acton Town,Farringdon,19,3745,25592,16441.35178415373
Acton Town,Finchley Central,1,3745,1921,23927.014402769506
Acton Town,Finchley Road,0,3745,3417,13983.30403573194
Acton Town,Finsbury Park,7,3745,6769,18672.77958505501
Acton Town,Fulham Broadway,41,3745,4200,8285.356004442949
Acton Town,Gants Hill,0,3745,601,31147.55102150328
Acton Town,Gloucester Road,62,3745,5194,7685.327929545745
Acton Town,Golders Green,1,3745,1871,20776.764546356593
Acton Town,Goldhawk Road,0,3745,370,5382.205499978974
Acton Town,Goodge Street,14,3745,6457,13483.92656415362
Acton Town,Great Portland Street,10,3745,6936,12923.975936028855
Acton Town,Green Park,79,3745,26754,11101.24397015362
Acton Town,Greenford,2,3745,1157,12300.789317859737
Acton Town,Gunnersbury,0,3745,4775,3769.798869047896
Acton Town,Hammersmith,391,3745,18250,4376.635380988082
Acton Town,Hampstead,0,3745,2010,18391.079078179144
Acton Town,Harrow-on-the-Hill,6,3745,3019,14147.276187677422
Acton Town,Hatton Cross,62,3745,1219,12068.07824687425
Acton Town,Heathrow Terminal 4,10,3745,693,13944.410912944677
Acton Town,Heathrow Terminal 5,18,3745,975,16935.98944803791
Acton Town,Heathrow Terminals 2 & 3,44,3745,2406,14480.757392873042
Acton Town,Hendon Central,0,3745,1878,23425.473285328204
Acton Town,High Street Kensington,16,3745,5427,8076.060017192249
Acton Town,Highbury & Islington,4,3745,25385,17165.184821458322
Acton Town,Highgate,1,3745,856,19807.473371672495
Acton Town,Hillingdon,0,3745,318,18075.854550026725
Acton Town,Holborn,117,3745,22346,13251.980961829167
Acton Town,Holland Park,0,3745,2063,9736.407590143175
Acton Town,Holloway Road,7,3745,1696,17233.317524265196
Acton Town,Hounslow Central,42,3745,708,7785.578437256796
Acton Town,Hounslow East,55,3745,843,7039.90191346838
Acton Town,Hounslow West,20,3745,401,9264.645936691135
Acton Town,Hyde Park Corner,34,3745,2410,10321.373842795709
Acton Town,Ickenham,0,3745,282,16951.42396511766
Acton Town,Kennington,2,3745,1161,14724.128852611377
Acton Town,Kentish Town,1,3745,3404,16459.167067800867
Acton Town,Kew Gardens,4,3745,792,5550.021347398926
Acton Town,Kilburn,0,3745,1953,14243.189412514603
Acton Town,King's Cross St. Pancras,64,3745,33330,14583.376807222296
Acton Town,Kingsbury,0,3745,1018,21519.93642416573
Acton Town,Knightsbridge,64,3745,6821,9737.432509893308
Acton Town,Ladbroke Grove,9,3745,2131,7561.142797456095
Acton Town,Lambeth North,6,3745,1319,13537.636510254228
Acton Town,Lancaster Gate,1,3745,1820,10533.131898404972
Acton Town,Latimer Road,6,3745,1109,6901.578750237078
Acton Town,Leicester Square,52,3745,8847,12253.534421920182
Acton Town,Leyton,0,3745,1447,25178.032714096677
Acton Town,Leytonstone,0,3745,1844,26841.898735531096
Acton Town,Liverpool Street,55,3745,61122,16348.349141759423
Acton Town,London Bridge,39,3745,29930,14718.70418418339
Acton Town,Manor House,1,3745,1311,19788.905060701338
Acton Town,Mansion House,41,3745,7815,14997.835377985462
Acton Town,Marble Arch,1,3745,6145,11751.710796095602
Acton Town,Marylebone,1,3745,4250,11665.223914979932
Acton Town,Mile End,3,3745,3759,20258.505853349696
Acton Town,Mill Hill East,2,3745,681,25449.19489754119
Acton Town,Moorgate,14,3745,24574,16283.675021532878
Acton Town,Morden,0,3745,1447,24469.665451609075
Acton Town,Mornington Crescent,5,3745,2927,14591.03560527846
Acton Town,Newbury Park,0,3745,559,33505.30442580022
Acton Town,North Acton,3,3745,3168,6020.218188136747
Acton Town,North Ealing,20,3745,332,1951.003854952422
Acton Town,North Greenwich,13,3745,6276,22227.59022237586
Acton Town,Northfields,30,3745,864,2580.8375257178463
Acton Town,Northolt,1,3745,663,14119.193061415821
Acton Town,Northwick Park,3,3745,1713,15450.392418226596
Acton Town,Northwood,2,3745,1018,21389.825259654663
Acton Town,Northwood Hills,1,3745,488,19803.185219060062
Acton Town,Notting Hill Gate,7,3745,5490,9036.688453404153
Acton Town,Oakwood,0,3745,423,29745.80638231893
Acton Town,Old Street,28,3745,15897,17137.181744927064
Acton Town,Osterley,22,3745,521,6072.425631546644
Acton Town,Oval,1,3745,2544,15639.27417301429
Acton Town,Oxford Circus,38,3745,44368,12111.787369701811
Acton Town,Paddington,31,3745,20198,10273.739117742512
Acton Town,Park Royal,39,3745,1552,3050.637468471682
Acton Town,Parsons Green,29,3745,2711,8987.687001770937
Acton Town,Perivale,1,3745,532,10704.380918488781
Acton Town,Piccadilly Circus,85,3745,13641,11878.851304935326
Acton Town,Pimlico,10,3745,5585,12175.44187913971
Acton Town,Pinner,0,3745,292,17644.57950848207
Acton Town,Plaistow,2,3745,1049,24034.28714752288
Acton Town,Preston Road,0,3745,411,17183.508594577434
Acton Town,Putney Bridge,21,3745,2494,9982.125838416014
Acton Town,Queensbury,0,3745,439,22765.92207155996
Acton Town,Ravenscourt Park,43,3745,1895,3542.0699210729194
Acton Town,Rayners Lane,4,3745,426,11541.350059686607
Acton Town,Redbridge,0,3745,198,29689.809625486356
Acton Town,Regent's Park,10,3745,3364,12892.695896271267
Acton Town,Richmond,33,3745,5397,7718.141583136725
Acton Town,Rickmansworth,0,3745,937,27005.232697822506
Acton Town,Royal Oak,9,3745,856,9336.45665723445
Acton Town,Ruislip,1,3745,257,15165.766098222493
Acton Town,Ruislip Manor,0,3745,408,14486.88480507135
Acton Town,Russell Square,44,3745,5172,13958.40238758712
Acton Town,Seven Sisters,6,3745,10191,22078.73186008333
Acton Town,Shepherd's Bush,0,3745,9890,9320.611801618783
Acton Town,Shepherd's Bush Market,1,3745,416,5821.485321735187
Acton Town,Sloane Square,34,3745,8229,9609.85518814559
Acton Town,South Ealing,21,3745,670,2127.9011603426047
Acton Town,South Harrow,12,3745,387,9735.821308638051
Acton Town,South Kensington,131,3745,15325,8436.649562602784
Acton Town,South Ruislip,0,3745,289,16443.128968422432
Acton Town,South Woodford,0,3745,766,29815.956162435257
Acton Town,Southfields,15,3745,1351,12671.50842826943
Acton Town,Southgate,1,3745,874,27880.176594501754
Acton Town,Southwark,32,3745,10326,13620.373321075265
Acton Town,St. James's Park,64,3745,13339,11552.87728677691
Acton Town,St. John's Wood,2,3745,3982,14236.069633065015
Acton Town,St. Paul's,27,3745,13446,14912.593460368003
Acton Town,Stamford Brook,13,3745,784,2832.7914811327955
Acton Town,Stepney Green,2,3745,1879,19229.258879341705
Acton Town,Stockwell,2,3745,1623,14507.594088191323
Acton Town,Stratford,10,3745,55954,23046.69331622918
Acton Town,Sudbury Hill,15,3745,277,8250.374080156107
Acton Town,Sudbury Town,13,3745,218,6633.379006658124
Acton Town,Swiss Cottage,3,3745,2598,14628.648894729153
Acton Town,Temple,15,3745,6780,13585.552933739971
Acton Town,Tooting Bec,1,3745,1239,19502.695700192708
Acton Town,Tooting Broadway,3,3745,4506,20577.619027015095
Acton Town,Tottenham Court Road,10,3745,19126,12839.463962304919
Acton Town,Tottenham Hale,4,3745,3239,23232.288589833068
Acton Town,Totteridge & Whetstone,1,3745,287,27587.40558741186
Acton Town,Tower Hill,28,3745,8286,16346.572954101843
Acton Town,Tufnell Park,1,3745,557,17223.750845175782
Acton Town,Turnham Green,20,3745,1515,2222.512496496387
Acton Town,Turnpike Lane,3,3745,992,22110.54179450364
Acton Town,Upminster,0,3745,1132,41460.231274105696
Acton Town,Upney,0,3745,485,30447.870123192173
Acton Town,Upton Park,0,3745,1642,25355.397528926478
Acton Town,Uxbridge,41,3745,4316,20220.25748044511
Acton Town,Vauxhall,21,3745,16242,13000.756168903534
Acton Town,Victoria,53,3745,33251,10775.589912108422
Acton Town,Walthamstow Central,1,3745,5271,26205.431097308978
Acton Town,Warren Street,25,3745,17309,13261.473332400215
Acton Town,Waterloo,32,3745,23466,12963.958153639102
Acton Town,Watford,1,3745,961,28572.92980079946
Acton Town,Wembley Park,1,3745,5759,18603.22026769707
Acton Town,West Acton,3,3745,488,4208.7626364586495
Acton Town,West Brompton,17,3745,5859,7342.60512258692
Acton Town,West Ham,0,3745,5487,23104.433861316953
Acton Town,West Hampstead,1,3745,5856,13227.580854408285
Acton Town,West Harrow,0,3745,122,12905.429848557305
Acton Town,West Kensington,14,3745,1345,5834.120011001343
Acton Town,Westbourne Park,9,3745,1347,8367.064645032211
Acton Town,Westminster,33,3745,15466,12113.615593135484
Acton Town,White City,3,3745,5966,9157.870674175281
Acton Town,Whitechapel,10,3745,17633,18149.11583156986
Acton Town,Willesden Green,0,3745,830,15428.235503152142
Acton Town,Wimbledon,77,3745,6295,15686.99737218149
Acton Town,Wimbledon Park,3,3745,596,14031.124352694509
Acton Town,Wood Green,6,3745,2146,23041.354948626384
Acton Town,Wood Lane,9,3745,1578,6347.733829205816
Acton Town,Woodford,0,3745,706,31527.89997415414
Acton Town,Woodside Park,0,3745,745,26110.29725482405
Aldgate,Acton Town,0,2886,2202,16943.75144166265
Aldgate,Aldgate East,0,2886,7932,1436.4013005538018
Aldgate,Amersham,0,2886,256,45233.136643777536
Aldgate,Angel,17,2886,8103,3530.2823207526944
Aldgate,Archway,2,2886,2193,9455.271840436291
Aldgate,Arnos Grove,0,2886,748,15499.953247181804
Aldgate,Arsenal,2,2886,315,7498.954628860205
Aldgate,Baker Street,167,2886,14973,6668.507355689835
Aldgate,Balham,0,2886,3814,10717.989560579748
Aldgate,Bank and Monument,5,2886,78549,1436.8931818029614
Aldgate,Barbican,221,2886,9134,1863.424922240628
Aldgate,Barking,0,2886,7004,13331.183865730416
Aldgate,Barkingside,0,2886,262,18903.211087629275
Aldgate,Barons Court,0,2886,2956,11673.298161588058
Aldgate,Bayswater,1,2886,615,10321.158532193269
Aldgate,Belsize Park,1,2886,2255,8451.088301991764
Aldgate,Bermondsey,0,2886,3172,4411.393217128423
Aldgate,Bethnal Green,0,2886,4660,3129.2612816854253
Aldgate,Blackfriars,11,2886,10849,2674.6295754486164
Aldgate,Blackhorse Road,2,2886,2955,12662.005524866177
Aldgate,Bond Street,13,2886,20967,6172.6804387643615
Aldgate,Borough,1,2886,3254,2838.185467667634
Aldgate,Boston Manor,0,2886,892,20455.419369935964
Aldgate,Bounds Green,2,2886,778,14145.705820419309
Aldgate,Bow Road,0,2886,1193,5134.02977559396
Aldgate,Brent Cross,0,2886,450,13529.849175982055
Aldgate,Brixton,2,2886,5084,8284.738052145682
Aldgate,Buckhurst Hill,0,2886,228,18128.846062056364
Aldgate,Burnt Oak,0,2886,649,18122.364505527265
Aldgate,Caledonian Road,10,2886,1803,6216.949891736244
Aldgate,Camden Town,8,2886,6348,6419.232026785405
Aldgate,Canada Water,0,2886,20443,5238.627007358069
Aldgate,Canary Wharf,1,2886,58772,6564.3258258244805
Aldgate,Canning Town,0,2886,15428,8612.086852083019
Aldgate,Cannon Street,4,2886,4698,1766.2008648114077
Aldgate,Canons Park,2,2886,526,23325.324547726046
Aldgate,Chalfont & Latimer,1,2886,554,41847.47034643719
Aldgate,Chalk Farm,1,2886,1329,7412.997903659081
Aldgate,Chancery Lane,5,2886,15391,3381.5426795180565
Aldgate,Charing Cross,0,2886,7016,4561.559474261644
Aldgate,Chesham,0,2886,243,48163.35533494564
Aldgate,Chigwell,0,2886,148,19376.32069606102
Aldgate,Chorleywood,0,2886,702,38334.61606079775
Aldgate,Clapham Common,0,2886,2020,8293.070423899439
Aldgate,Clapham North,0,2886,1238,7650.316356289608
Aldgate,Clapham South,1,2886,1513,9545.37738774249
Aldgate,Cockfosters,1,2886,262,20688.685928730352
Aldgate,Colindale,4,2886,2081,16815.96474949588
Aldgate,Colliers Wood,0,2886,865,14048.423248570005
Aldgate,Covent Garden,2,2886,4355,4579.941954345095
Aldgate,Croxley,0,2886,340,34296.15061639023
Aldgate,Debden,0,2886,865,22016.398447516418
Aldgate,Dollis Hill,4,2886,847,14405.56202477028
Aldgate,Ealing Broadway,0,2886,4846,19048.966884461915
Aldgate,Ealing Common,0,2886,915,17970.36377622967
Aldgate,Earl's Court,2,2886,6613,10168.525542548838
Aldgate,East Acton,4,2886,1505,14440.129284446464
Aldgate,East Finchley,0,2886,1253,12794.471614859236
Aldgate,East Ham,0,2886,2062,10906.26934855416
Aldgate,East Putney,0,2886,1877,14433.960693067467
Aldgate,Eastcote,2,2886,364,26350.53792767827
Aldgate,Edgware,0,2886,772,19640.47898478107
Aldgate,Edgware Road,25,2886,6868,7703.326213080123
Aldgate,Elephant & Castle,1,2886,6427,3659.304959436166
Aldgate,Embankment,14,2886,10220,4221.233643438722
Aldgate,Epping,0,2886,498,27963.785739699906
Aldgate,Euston,4,2886,16800,5045.655925803279
Aldgate,Euston Square,353,2886,8093,5221.756370790336
Aldgate,Fairlop,0,2886,182,20071.917143788498
Aldgate,Farringdon,677,2886,25592,2324.3273918292093
Aldgate,Finchley Central,1,2886,1921,15165.01057739576
Aldgate,Finchley Road,30,2886,3417,10203.092436833862
Aldgate,Finsbury Park,8,2886,6769,8271.705146593356
Aldgate,Fulham Broadway,0,2886,4200,11678.655647877977
Aldgate,Gants Hill,0,2886,601,15414.922497628237
Aldgate,Gloucester Road,0,2886,5194,9258.423512116904
Aldgate,Golders Green,1,2886,1871,12014.760720982838
Aldgate,Goldhawk Road,0,2886,370,13383.473676003965
Aldgate,Goodge Street,0,2886,6457,5388.526725184242
Aldgate,Great Portland Street,228,2886,6936,5841.703239954082
Aldgate,Green Park,3,2886,26754,5910.967460120701
Aldgate,Greenford,0,2886,1157,21901.206424084558
Aldgate,Gunnersbury,0,2886,4775,16268.525317717771
Aldgate,Hainault,1,2886,356,20950.581564318087
Aldgate,Hammersmith,2,2886,18250,12567.116060674567
Aldgate,Hampstead,2,2886,2010,9629.07525280539
Aldgate,Hanger Lane,0,2886,1493,18074.910776296925
Aldgate,Harlesden,1,2886,1668,14801.86999491703
Aldgate,Harrow & Wealdstone,0,2886,1335,23469.55111933275
Aldgate,Harrow-on-the-Hill,22,2886,3019,21925.29477618288
Aldgate,Hatton Cross,0,2886,1219,29011.829688536895
Aldgate,Heathrow Terminal 4,0,2886,693,30888.16235460732
Aldgate,Heathrow Terminal 5,1,2886,975,33879.74088970056
Aldgate,Heathrow Terminals 2 & 3,3,2886,2406,31424.508834535685
Aldgate,Hendon Central,2,2886,1878,14663.469459954447
Aldgate,High Barnet,0,2886,953,21418.013668834872
Aldgate,High Street Kensington,18,2886,5427,10263.529266648777
Aldgate,Highbury & Islington,1,2886,25385,6764.11038299667
Aldgate,Highgate,1,2886,856,11045.469546298747
Aldgate,Hillingdon,1,2886,318,31065.725394513815
Aldgate,Holborn,19,2886,22346,3947.0176063142567
Aldgate,Holland Park,3,2886,2063,10270.845800936231
Aldgate,Holloway Road,8,2886,1696,6832.243085803544
Aldgate,Hounslow Central,0,2886,708,24729.32987891944
Aldgate,Hounslow East,0,2886,843,23983.653355131028
Aldgate,Hounslow West,0,2886,401,26208.39737835378
Aldgate,Hyde Park Corner,1,2886,2410,6690.837587478612
Aldgate,Ickenham,0,2886,282,29941.29480960475
Aldgate,Kennington,0,2886,1161,4498.857234150582
Aldgate,Kensal Green,0,2886,472,12302.459817627043
Aldgate,Kentish Town,1,2886,3404,7697.1632424271165
Aldgate,Kew Gardens,0,2886,792,18048.7477960688
Aldgate,Kilburn,1,2886,1953,11974.424176263836
Aldgate,Kilburn Park,1,2886,823,11063.923364879327
Aldgate,King's Cross St. Pancras,351,2886,33330,4182.302368760644
Aldgate,Kingsbury,2,2886,1018,20386.06685263189
Aldgate,Knightsbridge,1,2886,6821,7274.7789203810125
Aldgate,Ladbroke Grove,9,2886,2131,11204.536378526844
Aldgate,Lambeth North,0,2886,1319,4553.471644638676
Aldgate,Lancaster Gate,0,2886,1820,8074.683219196389
Aldgate,Latimer Road,4,2886,1109,11864.10042574586
Aldgate,Leicester Square,1,2886,8847,4945.464146223242
Aldgate,Leyton,0,2886,1447,9445.404190221634
Aldgate,Leytonstone,0,2886,1844,11109.270211656054
Aldgate,Liverpool Street,67,2886,61122,722.0687541529662
Aldgate,London Bridge,2,2886,29930,2323.604616021034
Aldgate,Loughton,0,2886,655,19964.301649642126
Aldgate,Maida Vale,2,2886,949,10212.151387076028
Aldgate,Manor House,6,2886,1311,9387.830622239682
Aldgate,Mansion House,5,2886,7815,2014.3760522888574
Aldgate,Marble Arch,5,2886,6145,6856.104321505758
Aldgate,Marylebone,3,2886,4250,7206.796687021356
Aldgate,Mile End,0,2886,3759,4509.111386808663
Aldgate,Mill Hill East,0,2886,681,16687.191072167443
Aldgate,Moor Park,0,2886,550,31386.059966563458
Aldgate,Moorgate,112,2886,24574,1156.1487731269128
Aldgate,Morden,0,2886,1447,16660.091938484602
Aldgate,Mornington Crescent,0,2886,2927,5829.031779904709
Aldgate,Neasden,1,2886,732,15191.130211563774
Aldgate,Newbury Park,0,2886,559,17772.675901925173
Aldgate,North Acton,1,2886,3168,15620.63529436157
Aldgate,North Greenwich,0,2886,6276,8394.101175704187
Aldgate,North Harrow,2,2886,190,23904.8837755962
Aldgate,North Wembley,0,2886,365,19363.005400929414
Aldgate,Northfields,0,2886,864,19524.588967380496
Aldgate,Northolt,0,2886,663,23719.61016764064
Aldgate,Northwick Park,20,2886,1713,20622.178545633706
Aldgate,Northwood,2,2886,1018,29167.84384816012
Aldgate,Northwood Hills,1,2886,488,27581.20380756552
Aldgate,Notting Hill Gate,7,2886,5490,9571.126664197209
Aldgate,Oakwood,0,2886,423,19344.731943857274
Aldgate,Old Street,8,2886,15897,2009.6554965210994
Aldgate,Osterley,0,2886,521,23016.177073209292
Aldgate,Oval,1,2886,2544,5414.002554553495
Aldgate,Oxford Circus,15,2886,44368,5618.350154608673
Aldgate,Paddington,73,2886,20198,8491.940058240425
Aldgate,Parsons Green,0,2886,2711,12380.986645205965
Aldgate,Perivale,0,2886,532,20304.798024713604
Aldgate,Piccadilly Circus,4,2886,13641,5133.360125338995
Aldgate,Pimlico,0,2886,5585,7568.013496585514
Aldgate,Pinner,1,2886,292,25422.598096987527
Aldgate,Plaistow,0,2886,1049,8284.892680981848
Aldgate,Preston Road,5,2886,411,18889.062369282867
Aldgate,Putney Bridge,0,2886,2494,13375.425481851042
Aldgate,Queen's Park,4,2886,2167,10917.860919897113
Aldgate,Queensbury,0,2886,439,21632.05250002612
Aldgate,Queensway,0,2886,1882,8932.816086483177
Aldgate,Rayners Lane,1,2886,426,24531.220904173697
Aldgate,Redbridge,0,2886,198,13957.181101611313
Aldgate,Richmond,0,2886,5397,20216.8680318066
Aldgate,Rickmansworth,3,2886,937,34783.25128632796
Aldgate,Royal Oak,3,2886,856,9429.222518748487
